Feature,Importance
日均余额（港币）_部门_APD,0
工银速汇汇出_部门_APD,0
工银速汇汇出_部门_INT,0
cusno_渠道_柜面,0
cusno_渠道_清算平台,0
cusno_渠道_网银,0
cusno_渠道_银企,0
belong_brno_渠道_其他,0
belong_brno_部门_INT,0
belong_brno_部门_OTHERS,0
笔数_部门_APD,0
笔数_部门_CHD,0
笔数_部门_CRD,0
笔数_部门_GBD,0
笔数_部门_INT,0
笔数_部门_OTHERS,0
cusno_渠道_其他,0
value_field_网点号,0
chats汇出_日期_2024-02,0
chats汇出_日期_2024-03,0
chats汇出_日期_2024-04,0
chats汇出_日期_2024-06,0
chats汇入_日期_2024-02,0
tt汇出_日期_2024-10,0
tt汇出_日期_2024-11,0
tt汇入_日期_2024-05,0
tt汇入_日期_2024-08,0
chats汇入_日期_2024-05,0
chats汇入_日期_2024-07,0
chats汇入_日期_2024-12,0
cips汇出_日期_2024-01,0
cips汇出_日期_2024-02,0
cips汇出_日期_2024-03,0
cips汇出_日期_2024-04,0
cips汇出_日期_2024-05,0
cips汇出_日期_2024-06,0
cips汇出_日期_2024-07,0
cips汇出_日期_2024-08,0
cips汇出_日期_2024-10,0
cips汇出_日期_2024-12,0
cips汇入_日期_2024-01,0
cips汇入_日期_2024-02,0
cips汇入_日期_2024-03,0
cips汇入_日期_2024-04,0
cips汇入_日期_2024-05,0
cips汇入_日期_2024-06,0
cips汇入_日期_2024-07,0
cips汇入_日期_2024-08,0
cips汇入_日期_2024-09,0
cips汇入_日期_2024-10,0
cips汇入_日期_2024-11,0
工银速汇汇入_日期_2024-04,0
工银速汇汇入_日期_2024-05,0
工银速汇汇入_日期_2024-06,0
工银速汇汇入_日期_2024-07,0
工银速汇汇入_日期_2024-08,0
工银速汇汇入_日期_2024-09,0
工银速汇汇入_日期_2024-10,0
工银速汇汇入_日期_2024-11,0
工银速汇汇入_日期_2024-12,0
tt汇出_日期_2024-03,0
tt汇出_日期_2024-04,0
tt汇出_日期_2024-05,0
tt汇出_日期_2024-07,0
cips汇入_日期_2024-12,0
fps汇出_日期_2024-02,0
fps汇出_日期_2024-04,0
fps汇出_日期_2024-05,0
fps汇出_日期_2024-12,0
工银速汇汇出_日期_2024-02,0
工银速汇汇出_日期_2024-03,0
工银速汇汇出_日期_2024-04,0
工银速汇汇出_日期_2024-05,0
工银速汇汇出_日期_2024-06,0
工银速汇汇出_日期_2024-07,0
工银速汇汇出_日期_2024-08,0
工银速汇汇出_日期_2024-09,0
工银速汇汇出_日期_2024-10,0
