Leaf_Feature,Coefficient
gbdt_leaf_24_58,-0.5645489257132075
gbdt_leaf_26_51,-0.5320847372635872
gbdt_leaf_0_52,-0.5220215710745302
gbdt_leaf_13_52,0.514943423606595
gbdt_leaf_6_14,0.5016908059877989
gbdt_leaf_31_50,-0.4847713267884875
gbdt_leaf_6_35,-0.4796744851406149
gbdt_leaf_23_33,-0.46735790574027203
gbdt_leaf_26_11,-0.4673411848727043
gbdt_leaf_1_41,-0.46579247803285617
gbdt_leaf_19_53,-0.4577991318713137
gbdt_leaf_8_46,-0.45380441354559836
gbdt_leaf_25_21,-0.445379635138847
gbdt_leaf_19_57,-0.43730790239127443
gbdt_leaf_28_57,-0.4245447009328928
gbdt_leaf_28_54,-0.4238967577976205
gbdt_leaf_26_21,-0.4216440214436694
gbdt_leaf_3_12,-0.41930451072282154
gbdt_leaf_12_7,-0.4170234366632817
gbdt_leaf_12_35,-0.416271930753696
gbdt_leaf_21_31,0.4158099657788826
gbdt_leaf_11_58,0.41457889383370894
gbdt_leaf_0_15,0.41348530404261014
gbdt_leaf_8_58,-0.4123321555186361
gbdt_leaf_0_30,-0.4110665550031777
gbdt_leaf_22_25,-0.4109995424441093
gbdt_leaf_1_5,0.39981213929976817
gbdt_leaf_30_34,0.39723156232450346
gbdt_leaf_9_48,-0.3967849992100153
gbdt_leaf_7_55,-0.3943653104691487
gbdt_leaf_22_55,0.39183434092406166
gbdt_leaf_23_48,0.3903040737809599
gbdt_leaf_12_43,-0.38974245321279505
gbdt_leaf_14_43,0.3879640258407796
gbdt_leaf_15_39,-0.3876357489198035
gbdt_leaf_26_58,0.38548813301936735
gbdt_leaf_11_32,-0.38215800083312546
gbdt_leaf_31_40,-0.3795283094048814
gbdt_leaf_19_14,-0.37792116721047
gbdt_leaf_12_58,-0.3770326248015561
gbdt_leaf_15_60,0.375718050913587
gbdt_leaf_0_46,-0.37199769511549047
gbdt_leaf_20_5,-0.37060725174294634
gbdt_leaf_4_12,-0.366877106151253
gbdt_leaf_18_13,-0.3657527326769421
gbdt_leaf_26_38,-0.36526302438108893
gbdt_leaf_0_36,0.3628617255919909
gbdt_leaf_5_24,0.362326431630705
gbdt_leaf_12_28,0.3598083379668483
gbdt_leaf_12_40,-0.35923753877627734
gbdt_leaf_27_18,0.3569290707218238
gbdt_leaf_17_43,-0.3565297186656988
gbdt_leaf_8_50,-0.355234408006744
gbdt_leaf_16_59,-0.3546716103235445
gbdt_leaf_31_33,0.3546666492307452
gbdt_leaf_0_16,0.3519916667025234
gbdt_leaf_21_56,0.3515722484741227
gbdt_leaf_25_37,0.35023657563819516
gbdt_leaf_15_36,-0.3498146493065695
gbdt_leaf_24_53,0.3492125591643628
gbdt_leaf_6_34,-0.34912589675747085
gbdt_leaf_12_60,-0.34886331209312926
gbdt_leaf_14_55,-0.3458753375118015
gbdt_leaf_14_31,-0.342483767206644
gbdt_leaf_14_58,0.340315289975072
gbdt_leaf_3_40,-0.3396486614641435
gbdt_leaf_3_23,-0.3392777454019144
gbdt_leaf_11_61,-0.33829600121119197
gbdt_leaf_28_43,0.33793628798785313
gbdt_leaf_19_33,0.33440384946424045
gbdt_leaf_26_33,0.3336361983389853
gbdt_leaf_30_23,-0.33073554737062144
gbdt_leaf_23_25,-0.33037865736244804
gbdt_leaf_21_36,-0.3293311914550427
gbdt_leaf_1_59,-0.32780542060021123
gbdt_leaf_23_40,0.32722051639200256
gbdt_leaf_13_61,0.32674064603158437
gbdt_leaf_5_30,-0.3264838791599077
gbdt_leaf_12_13,0.3247272818513083
gbdt_leaf_14_16,-0.3238238557796098
gbdt_leaf_16_14,-0.32358641548195577
gbdt_leaf_13_26,-0.32322275744408624
gbdt_leaf_10_41,-0.3230965710263477
gbdt_leaf_8_34,0.3215445236991404
gbdt_leaf_14_46,0.321276306147296
gbdt_leaf_16_9,-0.3208387680234092
gbdt_leaf_16_42,0.3200616958379693
gbdt_leaf_20_20,0.3189461649198666
gbdt_leaf_26_17,0.3185232900129344
gbdt_leaf_1_42,0.3181390339877292
gbdt_leaf_7_47,0.31794922869804904
gbdt_leaf_29_56,-0.3165599406665455
gbdt_leaf_26_52,0.31577229336561596
gbdt_leaf_28_9,-0.31501238468497
gbdt_leaf_29_61,-0.3148239931342957
gbdt_leaf_26_13,-0.31367976260655955
gbdt_leaf_25_5,-0.3133200262252327
gbdt_leaf_19_40,0.3128858201677663
gbdt_leaf_19_22,-0.3096037448488499
gbdt_leaf_21_22,-0.3081629584079155
gbdt_leaf_8_7,-0.30813722103582125
gbdt_leaf_24_18,-0.30767559169146164
gbdt_leaf_27_24,-0.3073048962472983
gbdt_leaf_20_41,-0.3072895304725124
gbdt_leaf_21_32,-0.30694439038663146
gbdt_leaf_23_41,-0.306181345775046
gbdt_leaf_14_25,0.305279232000463
gbdt_leaf_15_55,0.30323192703392216
gbdt_leaf_0_33,0.3019281736305907
gbdt_leaf_6_29,0.30184214835178497
gbdt_leaf_13_8,-0.30117641344340085
gbdt_leaf_2_50,0.3009614028489415
gbdt_leaf_25_15,0.30079463428579595
gbdt_leaf_10_14,-0.2997468022512502
gbdt_leaf_2_49,-0.2993085913330997
gbdt_leaf_22_38,-0.29930670147951854
gbdt_leaf_13_49,0.2991213060118255
gbdt_leaf_14_36,0.2990098667021004
gbdt_leaf_30_55,-0.2978388577624598
gbdt_leaf_8_41,-0.29704830429311524
gbdt_leaf_4_30,-0.29571308766703075
gbdt_leaf_5_57,0.29569639904390776
gbdt_leaf_24_59,0.29516426017107317
gbdt_leaf_6_32,-0.2949752916838356
gbdt_leaf_28_16,0.2949514158365108
gbdt_leaf_22_6,-0.2946040904974653
gbdt_leaf_24_45,-0.29338072236767754
gbdt_leaf_6_19,-0.2931382886380736
gbdt_leaf_14_38,0.29235574672597814
gbdt_leaf_24_51,-0.29103047976187607
gbdt_leaf_31_23,-0.29092390873046375
gbdt_leaf_6_40,0.2906925243113556
gbdt_leaf_3_60,0.2903734124266569
gbdt_leaf_7_40,-0.2897493519895769
gbdt_leaf_26_9,0.2896823355753483
gbdt_leaf_27_7,-0.28781530418825085
gbdt_leaf_25_50,-0.28724765929214763
gbdt_leaf_27_21,0.2865743837493647
gbdt_leaf_20_55,-0.2858067405597859
gbdt_leaf_28_47,0.28571383705062897
gbdt_leaf_13_45,-0.2850855014555458
gbdt_leaf_12_55,-0.2850452561568004
gbdt_leaf_6_46,0.28434541124515395
gbdt_leaf_14_39,-0.2843310037727815
gbdt_leaf_21_17,-0.28390584194214685
gbdt_leaf_6_43,0.2839022645769851
gbdt_leaf_10_30,-0.2828547865782925
gbdt_leaf_24_14,-0.28184212594093294
gbdt_leaf_19_47,0.2815175274730569
gbdt_leaf_1_19,-0.2812833051384261
gbdt_leaf_13_4,-0.28128078300257686
gbdt_leaf_13_63,-0.2803312245466086
gbdt_leaf_27_56,0.28022336027277545
gbdt_leaf_14_7,-0.2794620589055416
gbdt_leaf_2_1,-0.27910911072396294
gbdt_leaf_9_1,-0.27910911072396294
gbdt_leaf_6_0,-0.27910911072396294
gbdt_leaf_10_1,-0.27910911072396294
gbdt_leaf_23_1,-0.27910911072396294
gbdt_leaf_22_1,-0.27910911072396294
gbdt_leaf_24_0,-0.27910911072396294
gbdt_leaf_21_1,-0.27910911072396294
gbdt_leaf_26_1,-0.27910911072396294
gbdt_leaf_8_0,-0.27910911072396294
gbdt_leaf_29_1,-0.27910911072396294
gbdt_leaf_7_1,-0.27910911072396294
gbdt_leaf_31_1,-0.27910911072396294
gbdt_leaf_4_1,-0.27910911072396294
gbdt_leaf_15_1,-0.27910911072396294
gbdt_leaf_13_0,-0.27910911072396294
gbdt_leaf_17_1,-0.27910911072396294
gbdt_leaf_18_1,-0.27910911072396294
gbdt_leaf_1_1,-0.27910911072396294
gbdt_leaf_0_0,-0.27910911072396294
gbdt_leaf_25_0,-0.27910911072396294
gbdt_leaf_28_0,-0.27910911072396294
gbdt_leaf_5_1,-0.27910911072396294
gbdt_leaf_19_1,-0.27910911072396294
gbdt_leaf_27_1,-0.27910911072396294
gbdt_leaf_12_1,-0.27910911072396294
gbdt_leaf_16_0,-0.27910911072396294
gbdt_leaf_20_1,-0.27910911072396294
gbdt_leaf_11_1,-0.27910911072396294
gbdt_leaf_14_1,-0.27910911072396294
gbdt_leaf_3_1,-0.27910911072396294
gbdt_leaf_30_1,-0.2786421083097718
gbdt_leaf_10_43,-0.27792130380047414
gbdt_leaf_15_12,-0.2773123016608232
gbdt_leaf_7_57,0.27689531745436646
gbdt_leaf_26_45,-0.27628540713115735
gbdt_leaf_30_32,-0.2759400262843772
gbdt_leaf_11_54,-0.27499313863428165
gbdt_leaf_11_13,-0.2748028438108718
gbdt_leaf_11_3,0.2741339488077857
gbdt_leaf_29_10,-0.27370589939259576
gbdt_leaf_2_38,0.2716310273556202
gbdt_leaf_31_44,-0.27146233320388063
gbdt_leaf_23_6,-0.2712237220567074
gbdt_leaf_4_22,0.271096182330091
gbdt_leaf_26_14,0.2707530672279034
gbdt_leaf_30_40,0.27065267535270493
gbdt_leaf_5_5,-0.27057515853481656
gbdt_leaf_0_49,0.27019547071998007
gbdt_leaf_14_19,-0.2696609241940097
gbdt_leaf_28_52,0.2691676552176278
gbdt_leaf_12_56,0.2689792605192347
gbdt_leaf_22_28,0.2682708602259131
gbdt_leaf_0_62,0.2680622668094518
gbdt_leaf_2_20,0.2669030155639675
gbdt_leaf_8_28,-0.2666515511687199
gbdt_leaf_4_55,0.2665050406090298
gbdt_leaf_0_43,-0.2656206028603184
gbdt_leaf_26_37,0.2639418912505372
gbdt_leaf_16_35,-0.26378271130863173
gbdt_leaf_15_43,0.26369726658518533
gbdt_leaf_11_52,-0.26363999403041494
gbdt_leaf_5_17,-0.2632870035578226
gbdt_leaf_28_58,0.26307086873569613
gbdt_leaf_30_62,-0.2627387320399506
gbdt_leaf_14_44,0.26187125435241904
gbdt_leaf_28_44,-0.26173451109153956
gbdt_leaf_12_8,0.2610341068018194
gbdt_leaf_17_5,-0.2591002048908679
gbdt_leaf_30_19,-0.2589032503069084
gbdt_leaf_24_47,-0.25874807829695123
gbdt_leaf_26_15,0.2587203482230512
gbdt_leaf_10_51,-0.25852050233308904
gbdt_leaf_17_18,-0.2583464515265603
gbdt_leaf_7_59,0.2574464867443797
gbdt_leaf_9_49,0.2574191588935105
gbdt_leaf_11_29,0.25720827398346247
gbdt_leaf_5_59,-0.2571395909295065
gbdt_leaf_10_42,0.25689679278960176
gbdt_leaf_14_33,-0.25688820774963955
gbdt_leaf_19_0,-0.2565355657381698
gbdt_leaf_30_53,0.25629922845288605
gbdt_leaf_20_34,-0.25592360308816914
gbdt_leaf_20_11,-0.25553753566992615
gbdt_leaf_5_18,0.2552149512398744
gbdt_leaf_12_25,-0.255007100124016
gbdt_leaf_27_37,0.2549806646632719
gbdt_leaf_17_52,-0.25439086428076835
gbdt_leaf_29_17,-0.25414803797915914
gbdt_leaf_21_47,0.25364466903027705
